,target,num_features,total_actives,total_decoys,returned_actives,returned_decoys,return_perc,score_type,EF0.5,EF1,EF2
0,akt1,5,423,16576,134,757,0.052414847932231313,rmsd,13.71158392434988,11.111111111111109,9.219858156028367
1,akt1,4,423,16576,191,3501,0.2171892464262604,rmsd,5.673758865248227,6.619385342789598,5.319148936170213
2,akt1,3,423,16576,167,4811,0.2928407553385493,rmsd,7.5650118203309695,5.200945626477541,2.8368794326241136
3,cp3a4,5,363,11940,2,335,0.02739169308298789,rmsd,0.5509641873278237,0.27548209366391185,0.27548209366391185
4,cp3a4,4,363,11940,41,3069,0.25278387385190604,rmsd,2.203856749311295,1.928374655647383,1.1019283746556474
5,cp3a4,3,363,11940,52,3859,0.3178899455417378,rmsd,0.0,0.27548209366391185,0.27548209366391185
6,gcr,5,563,15185,1,37,0.002413004826009652,rmsd,0.3552397868561279,0.17761989342806395,0.08880994671403197
7,gcr,4,563,15185,37,854,0.05657861315722632,rmsd,0.7104795737122558,1.2433392539964476,1.7761989342806397
8,gcr,3,563,15185,152,7060,0.4579629159258318,rmsd,0.3552397868561279,0.3552397868561279,0.4440497335701599
9,hivrt,5,639,19134,7,76,0.004197643250897689,rmsd,2.1909233176838807,1.0954616588419404,0.5477308294209702
10,hivrt,4,639,19134,117,1881,0.10104688211197088,rmsd,6.259780907668231,5.164319248826291,4.460093896713615
11,hivrt,3,639,19134,161,4384,0.2298588984979517,rmsd,2.1909233176838807,4.381846635367761,3.442879499217527
12,hivpr,5,1395,36278,25,40,0.0017253736097470338,rmsd,3.5842293906810028,1.7921146953405016,0.8960573476702508
13,hivpr,4,1395,36278,40,126,0.004406338757200117,rmsd,5.734767025089606,2.867383512544803,1.4336917562724014
14,hivpr,3,1395,36278,291,6338,0.17596156398481672,rmsd,0.14336917562724014,0.2150537634408602,0.9677419354838708
15,kif11,5,197,6912,38,1019,0.14868476578984385,rmsd,0.0,0.0,0.7614213197969544
16,kif11,4,197,6912,91,3322,0.4800956533971023,rmsd,1.0152284263959392,0.5076142131979695,0.5076142131979695
17,kif11,3,197,6912,92,4840,0.6937684625123084,rmsd,0.0,0.0,0.0
